click_date,user_id,goods_no,cat_name_one,cat_name_two,cat_name_three
2020/5/14 0:00,747005,119748348,女装,上装,T恤
2020/5/15 0:00,60642,123013798,女鞋,拖鞋,拖鞋
2020/5/15 0:00,933325,131004868,女装,上装,风衣
2020/5/16 0:00,547129,133961938,女装,上装,背心
2020/5/16 0:00,1054614,141335350,女装,居家内衣,内衣套装
2020/5/15 0:00,1381653,149717680,女装,上装,针织开衫
2020/5/14 0:00,1014946,150411533,女装,套装,套装
2020/5/14 0:00,506653,135897652,女装,上装,背心
2020/5/15 0:00,677784,145279389,女装,上装,T恤
2020/5/14 0:00,1552129,1107758577,女装,上装,T恤
2020/5/14 0:00,1841482,1107427536,配饰,首饰,耳钉
2020/5/14 0:00,1073093,1108912657,女鞋,单鞋,凉鞋
2020/5/14 0:00,1286861,150310023,女装,上装,T恤
2020/5/14 0:00,1713992,1109412681,女装,裙装,半身裙
2020/5/14 0:00,888431,152133303,女装,套装,套装
2020/5/14 0:00,1465424,1110402154,女装,裙装,连衣裙
2020/5/15 0:00,698110,1110449974,女装,裙装,连衣裙
2020/5/16 0:00,150496,1111051501,女装,下装,牛仔裤
2020/5/14 0:00,448924,148693114,女装,裙装,半身裙
2020/5/16 0:00,1351315,1110730382,女装,下装,休闲裤
2020/5/14 0:00,869123,1109221591,女装,上装,T恤
2020/5/15 0:00,1879257,1110854145,女装,裙装,连衣裙
2020/5/15 0:00,1147132,1109300686,女装,上装,T恤
2020/5/15 0:00,1301308,1107807075,配饰,饰品,帽子
2020/5/15 0:00,1994652,1111665699,女装,上装,衬衫
2020/5/14 0:00,1735500,1112061425,女装,上装,衬衫
2020/5/14 0:00,1339774,1109668248,女装,下装,休闲裤
2020/5/14 0:00,3131871,1108585481,女装,裙装,连衣裙
2020/5/14 0:00,1014665,1109731881,女装,上装,T恤
2020/5/16 0:00,469526,1111413548,女装,裙装,连衣裙
2020/5/14 0:00,1486596,1112818712,女装,裙装,连衣裙
2020/5/14 0:00,882501,1114063285,女装,裙装,连衣裙
2020/5/14 0:00,1738727,1115049026,女装,套装,套装
2020/5/16 0:00,1150944,1111155423,女装,裙装,连衣裙
2020/5/15 0:00,1445501,1113523259,女装,裙装,半身裙
2020/5/15 0:00,2077395,1113869137,女装,上装,背心
2020/5/15 0:00,2130617,1110500246,女装,下装,背带裤
2020/5/14 0:00,1729,1112857324,女装,上装,衬衫
2020/5/15 0:00,543875,1116410318,女装,裙装,半身裙
2020/5/14 0:00,2190846,1114932919,女装,上装,棉服
2020/5/15 0:00,1366594,150481301,女装,下装,西裤
2020/5/15 0:00,1127241,1118153581,女装,上装,T恤
2020/5/16 0:00,1346356,1108895603,女装,下装,休闲裤
2020/5/16 0:00,104498,1115239407,女装,裙装,连衣裙
2020/5/16 0:00,1560328,1110830053,女装,裙装,连衣裙
2020/5/14 0:00,1470115,1111770576,配饰,首饰,戒指
2020/5/14 0:00,630147,1115310865,女装,下装,牛仔裤
2020/5/14 0:00,2189298,1120413527,女装,套装,套装
2020/5/14 0:00,586766,123022236,女鞋,拖鞋,拖鞋
2020/5/15 0:00,2240008,1115099717,女装,上装,防晒衫
